Team,G,W,L,D,GS,GC,GD,Pts
SL_Benfica,0,0,0,0,0,0,0,0
Sporting_CP,0,0,0,0,0,0,0,0
FC_Porto,0,0,0,0,0,0,0,0
SC_Braga,0,0,0,0,0,0,0,0
Moreirense_FC,0,0,0,0,0,0,0,0
Vitoria_SC,0,0,0,0,0,0,0,0
FC_Famalicao,0,0,0,0,0,0,0,0
SC_Farence,0,0,0,0,0,0,0,0
Boavista_FC,0,0,0,0,0,0,0,0
Portimonense,0,0,0,0,0,0,0,0
Gil_Vicente_FC,0,0,0,0,0,0,0,0
Estrela_Amadora,0,0,0,0,0,0,0,0
Estoril_Praia,0,0,0,0,0,0,0,0
FC_Vizela,0,0,0,0,0,0,0,0
Casa_Pia_AC,0,0,0,0,0,0,0,0
Rio_Ave_FC,0,0,0,0,0,0,0,0
GD_Chaves,0,0,0,0,0,0,0,0
FC_Arouca,0,0,0,0,0,0,0,0
